PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
03MaxMin;0.7;7;8;88%;17;21;81%
03MaxMin;0.8;7;8;88%;18;21;86%
03MaxMin;0.8;7;8;88%;18;21;86%
03MaxMin;0.9;7;8;88%;18;21;86%
03MaxMin;1.0;7;8;88%;17;21;81%
03MaxMin;1.0;7;8;88%;18;21;86%
03MaxMin;0.6;7;8;88%;17;21;81%
03MaxMin;0.6;7;8;88%;17;21;81%
03MaxMin;0.6;7;8;88%;17;21;81%
03MaxMin;0.5;7;8;88%;17;21;81%
03MaxMin;0.5;7;8;88%;17;21;81%
03MaxMin;0.4;7;8;88%;17;21;81%
03MaxMin;0.2;7;8;88%;17;21;81%
03MaxMin;0.2;7;8;88%;17;21;81%
03MaxMin;0.0;0;8;0%;0;21;0%
