PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
06Fibonacci;0.7;5;6;83%;12;12;100%
06Fibonacci;0.8;5;6;83%;12;12;100%
06Fibonacci;0.8;5;6;83%;12;12;100%
06Fibonacci;0.9;5;6;83%;12;12;100%
06Fibonacci;0.9;5;6;83%;12;12;100%
06Fibonacci;0.9;5;6;83%;12;12;100%
06Fibonacci;1.0;5;6;83%;12;12;100%
06Fibonacci;1.0;5;6;83%;12;12;100%
06Fibonacci;0.6;5;6;83%;12;12;100%
06Fibonacci;0.6;5;6;83%;12;12;100%
06Fibonacci;0.5;5;6;83%;12;12;100%
06Fibonacci;0.5;5;6;83%;12;12;100%
06Fibonacci;0.4;5;6;83%;12;12;100%
06Fibonacci;0.2;5;6;83%;12;12;100%
06Fibonacci;0.0;0;6;0%;0;12;0%
