PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
11ListArray;0.7;12;12;100%;20;31;65%
11ListArray;0.9;12;12;100%;20;31;65%
11ListArray;1.0;12;12;100%;23;31;74%
11ListArray;0.6;11;12;92%;19;31;61%
11ListArray;0.6;12;12;100%;20;31;65%
11ListArray;0.5;12;12;100%;19;31;61%
11ListArray;0.4;11;12;92%;19;31;61%
11ListArray;0.4;11;12;92%;19;31;61%
11ListArray;0.3;11;12;92%;19;31;61%
11ListArray;0.3;11;12;92%;19;31;61%
11ListArray;0.2;12;12;100%;20;31;65%
11ListArray;0.1;11;12;92%;18;31;58%
11ListArray;0.1;11;12;92%;18;31;58%
11ListArray;0.1;12;12;100%;20;31;65%
11ListArray;0.0;0;12;0%;0;31;0%
