PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
26Grafo;0.8;43;51;84%;76;127;60%
26Grafo;0.8;43;51;84%;75;127;59%
26Grafo;0.9;43;51;84%;68;127;54%
26Grafo;0.9;49;51;96%;84;127;66%
26Grafo;1.0;35;51;69%;52;127;41%
26Grafo;0.6;43;51;84%;68;127;54%
26Grafo;0.6;44;51;86%;77;127;61%
26Grafo;0.5;43;51;84%;76;127;60%
26Grafo;0.5;44;51;86%;76;127;60%
26Grafo;0.4;43;51;84%;74;127;58%
26Grafo;0.4;49;51;96%;89;127;70%
26Grafo;0.3;43;51;84%;74;127;58%
26Grafo;0.3;44;51;86%;82;127;65%
26Grafo;0.2;44;51;86%;75;127;59%
26Grafo;0.2;44;51;86%;75;127;59%
26Grafo;0.2;44;51;86%;75;127;59%
26Grafo;0.1;44;51;86%;78;127;61%
26Grafo;0.1;44;51;86%;75;127;59%
26Grafo;0.1;44;51;86%;74;127;58%
26Grafo;0.0;44;51;86%;75;127;59%
26Grafo;0.0;44;51;86%;75;127;59%
26Grafo;0.0;44;51;86%;78;127;61%
26Grafo;0.0;0;51;0%;0;127;0%
